year,month,day,capacity,base_demand,base_price_economy,base_price_business,no_show_prob
1950,Jul,1,250,229,223.23,836.39,0.0506
1950,Jul,2,300,192,253.96,824.83,0.0805
1950,Jul,3,300,131,255.06,850.33,0.0817
1950,Jul,4,250,156,175.13,625.06,0.0336
1950,Jul,5,250,152,255.96,915.51,0.1085
1950,Jul,6,200,169,172.42,456.74,0.2231
1950,Jul,7,250,222,167.52,577.86,0.1412
1950,Jul,8,150,202,284.97,1031.14,0.0637
1950,Jul,9,300,170,173.4,641.36,0.1073
1950,Jul,10,150,156,110.93,424.99,0.052
1950,Jul,11,300,111,259.37,936.61,0.1218
1950,Jul,12,300,221,249.16,851.27,0.0818
1950,Jul,13,300,172,210.72,670.1,0.1364
1950,Jul,14,150,143,111.81,433.55,0.1053
1950,Jul,15,300,190,297.37,1117.44,0.1135
1950,Jul,16,250,104,131.01,393.79,0.0593
1950,Jul,17,200,171,291.57,900.9,0.0619
1950,Jul,18,200,168,226.9,904.88,0.0221
1950,Jul,19,250,156,289.99,1001.16,0.0666
1950,Jul,20,200,201,183.31,509.66,0.1404
1950,Jul,21,250,214,159.93,428.02,0.073
1950,Jul,22,250,163,292.09,994.48,0.1623
1950,Jul,23,250,180,272.56,878.26,0.0275
1950,Jul,24,150,129,148.88,514.59,0.2682
1950,Jul,25,250,134,135.63,511.9,0.1042
1950,Jul,26,200,134,121.49,471.46,0.0597
1950,Jul,27,250,169,218.09,779.92,0.2568
1950,Jul,28,150,182,210.05,532.48,0.0993
1950,Jul,29,200,136,119.02,445.86,0.11
1950,Jul,30,250,144,228.69,914.71,0.1575
1950,Aug,1,300,199,118.66,341.06,0.0809
1950,Aug,2,200,132,247.21,739.02,0.0296
1950,Aug,3,300,164,275.01,767.7,0.0278
1950,Aug,4,150,174,279.29,919.56,0.0695
1950,Aug,5,150,194,162.06,608.98,0.152
1950,Aug,6,250,213,216.39,823.07,0.1581
1950,Aug,7,250,172,237.99,822.14,0.0564
1950,Aug,8,250,126,241.19,922.76,0.028
1950,Aug,9,200,214,132.59,332.52,0.1256
1950,Aug,10,150,153,278.92,970.74,0.1444
1950,Aug,11,300,172,243.11,637.16,0.0874
1950,Aug,12,300,125,279.43,1062.78,0.1859
1950,Aug,13,200,150,110.73,280.61,0.1275
1950,Aug,14,150,163,148.38,408.59,0.0469
1950,Aug,15,250,158,111.03,327.86,0.0984
1950,Aug,16,300,212,216.01,662.85,0.1556
1950,Aug,17,250,172,282.28,870.1,0.0719
1950,Aug,18,200,161,258.78,1019.91,0.2006
1950,Aug,19,200,250,232.13,664.38,0.0965
1950,Aug,20,200,187,112.36,404.78,0.0529
1950,Aug,21,250,241,264.12,670.01,0.1082
1950,Aug,22,150,181,162.08,541.02,0.1342
1950,Aug,23,200,144,187.44,482.63,0.0324
1950,Aug,24,300,158,166.43,478.93,0.1514
1950,Aug,25,250,154,151.26,549.95,0.0309
1950,Aug,26,300,139,277.12,801.95,0.0355
1950,Aug,27,200,221,136.65,514.25,0.0649
1950,Aug,28,200,180,155.84,441.56,0.0484
1950,Aug,29,300,215,114.11,439.34,0.0334
1950,Aug,30,300,144,261.91,743.41,0.0213
1950,Sep,1,300,128,276.5,954.02,0.1427
1950,Sep,2,300,192,204.35,529.65,0.0996
1950,Sep,3,150,215,234.62,863.53,0.0487
1950,Sep,4,200,122,249.06,709.4,0.0652
1950,Sep,5,200,169,260.55,785.11,0.0275
1950,Sep,6,250,107,153.5,392.36,0.0953
1950,Sep,7,250,204,212.6,751.98,0.078
1950,Sep,8,200,125,124.24,479.09,0.0962
1950,Sep,9,200,148,264.31,1024.6,0.0839
1950,Sep,10,300,158,227.66,778.5,0.0364
1950,Sep,11,300,170,186.82,603.92,0.168
1950,Sep,12,150,182,200.31,669.06,0.0961
1950,Sep,13,150,103,232.45,708.87,0.1187
1950,Sep,14,300,207,202.81,750.41,0.0967
1950,Sep,15,150,199,149.43,460.16,0.0463
1950,Sep,16,200,149,189.72,696.34,0.0936
1950,Sep,17,300,182,285.14,727.54,0.1295
1950,Sep,18,250,135,256.4,946.87,0.0174
1950,Sep,19,300,66,127.78,441.59,0.0508
1950,Sep,20,300,128,292.31,831.19,0.098
1950,Sep,21,200,104,268.49,994.68,0.0794
1950,Sep,22,150,142,242.19,938.9,0.0871
1950,Sep,23,300,206,203.77,615.61,0.0679
1950,Sep,24,250,147,108.5,348.81,0.1363
1950,Sep,25,200,148,149.35,436.36,0.1669
1950,Sep,26,250,171,217.02,829.04,0.0448
1950,Sep,27,300,152,150.99,553.78,0.0605
1950,Sep,28,300,186,178.05,453.58,0.1048
1950,Sep,29,250,145,292.44,968.92,0.0988
1950,Sep,30,250,186,148.71,570.04,0.0241
1950,Oct,1,200,95,105.37,352.07,0.1553
1950,Oct,2,150,107,169.2,524.52,0.1798
1950,Oct,3,150,121,264.28,931.56,0.055
1950,Oct,4,300,121,272.39,873.34,0.0656
1950,Oct,5,300,99,146.5,476.85,0.0037
1950,Oct,6,200,128,162.64,468.89,0.1366
1950,Oct,7,300,145,193.46,682.46,0.0643
1950,Oct,8,200,145,121.82,380.87,0.0965
1950,Oct,9,150,134,195.46,728.1,0.1185
1950,Oct,10,300,149,255.8,793.51,0.066
1950,Oct,11,250,144,194.06,511.99,0.0418
1950,Oct,12,150,149,101.03,332.89,0.0558
1950,Oct,13,300,145,224.88,881.71,0.0798
1950,Oct,14,150,130,269.57,1061.63,0.1711
1950,Oct,15,150,180,214.39,570.15,0.1995
1950,Oct,16,300,116,208.18,589.68,0.1108
1950,Oct,17,200,160,271.24,839.13,0.0814
1950,Oct,18,200,155,257.31,952.4,0.0336
1950,Oct,19,300,124,179.02,698.75,0.0444
1950,Oct,20,300,132,120.78,333.77,0.1075
1950,Oct,21,250,112,108.53,405.98,0.0188
1950,Oct,22,200,116,187.75,716.35,0.244
1950,Oct,23,150,145,277.09,1057.03,0.1208
1950,Oct,24,250,117,139.83,511.07,0.1162
1950,Oct,25,250,92,248.73,776.01,0.1242
1950,Oct,26,300,116,263.59,968.73,0.0868
1950,Oct,27,300,142,276.58,918.92,0.0771
1950,Oct,28,200,117,130.58,474.48,0.0513
1950,Oct,29,300,142,235.78,882.42,0.0611
1950,Oct,30,300,157,195.05,710.37,0.0791
1950,Nov,1,250,131,168.4,554.35,0.0772
1950,Nov,2,250,120,134.92,338.43,0.0165
1950,Nov,3,150,114,112.25,327.0,0.089
1950,Nov,4,250,102,247.02,984.49,0.0455
1950,Nov,5,300,119,233.01,930.71,0.0766
1950,Nov,6,200,130,163.41,504.18,0.0799
1950,Nov,7,300,101,121.84,431.96,0.048
1950,Nov,8,250,165,220.13,799.24,0.0532
1950,Nov,9,150,149,282.37,1124.25,0.0491
1950,Nov,10,150,84,149.14,538.51,0.1454
1950,Nov,11,250,77,199.35,672.68,0.0673
1950,Nov,12,250,147,281.27,810.37,0.0711
1950,Nov,13,250,130,197.44,539.01,0.062
1950,Nov,14,250,122,251.92,975.21,0.0252
1950,Nov,15,200,100,209.53,713.96,0.0943
1950,Nov,16,200,116,153.27,471.41,0.0722
1950,Nov,17,300,67,286.53,748.19,0.0468
1950,Nov,18,300,131,153.8,473.48,0.1542
1950,Nov,19,150,94,152.13,421.26,0.0679
1950,Nov,20,300,100,282.32,1024.8,0.2827
1950,Nov,21,250,144,210.96,743.88,0.1477
1950,Nov,22,250,96,129.86,492.73,0.1129
1950,Nov,23,150,121,257.09,870.22,0.0566
1950,Nov,24,200,120,201.15,689.16,0.1842
1950,Nov,25,250,118,159.58,446.9,0.126
1950,Nov,26,150,149,197.46,519.27,0.0565
1950,Nov,27,300,131,257.79,759.81,0.1152
1950,Nov,28,150,100,299.27,918.39,0.1077
1950,Nov,29,250,66,202.81,558.47,0.0113
1950,Nov,30,150,107,217.82,786.11,0.0883
1950,Dec,1,300,119,297.66,871.09,0.0997
1950,Dec,2,250,74,138.69,449.93,0.1246
1950,Dec,3,200,172,100.32,355.55,0.1021
1950,Dec,4,250,150,257.62,822.01,0.0407
1950,Dec,5,150,157,187.0,730.9,0.3141
1950,Dec,6,200,130,211.33,832.71,0.1246
1950,Dec,7,300,168,272.78,915.84,0.0539
1950,Dec,8,150,116,133.6,394.82,0.0554
1950,Dec,9,300,97,223.9,666.43,0.1203
1950,Dec,10,150,156,273.39,1033.25,0.1165
1950,Dec,11,150,145,210.39,835.83,0.036
1950,Dec,12,150,156,156.85,450.03,0.1321
1950,Dec,13,150,130,189.08,533.86,0.0161
1950,Dec,14,200,158,288.59,796.54,0.061
1950,Dec,15,250,98,219.89,836.18,0.0517
1950,Dec,16,300,199,211.22,709.63,0.0624
1950,Dec,17,250,108,179.46,533.09,0.0934
1950,Dec,18,200,119,136.51,403.59,0.1567
1950,Dec,19,250,191,227.56,781.33,0.0646
1950,Dec,20,150,154,136.7,495.43,0.0523
1950,Dec,21,150,140,128.55,353.83,0.143
1950,Dec,22,300,132,120.53,437.85,0.0164
1950,Dec,23,250,169,226.31,689.65,0.0557
1950,Dec,24,250,181,266.84,991.59,0.1323
1950,Dec,25,250,131,199.24,740.11,0.0738
1950,Dec,26,250,106,133.93,400.06,0.0153
1950,Dec,27,150,97,261.1,682.7,0.0408
1950,Dec,28,300,159,152.43,449.06,0.0351
1950,Dec,29,300,150,176.93,606.16,0.0145
1950,Dec,30,250,87,160.35,578.62,0.0575
1951,Jan,1,200,128,103.53,333.24,0.0825
1951,Jan,2,250,160,161.39,502.97,0.2008
1951,Jan,3,200,84,288.7,1071.73,0.0322
1951,Jan,4,150,116,252.62,829.85,0.0693
1951,Jan,5,300,145,182.14,567.42,0.1023
1951,Jan,6,200,130,128.13,504.68,0.0554
1951,Jan,7,250,136,161.55,537.66,0.0601
1951,Jan,8,250,141,254.59,951.3,0.0817
1951,Jan,9,200,121,185.4,509.42,0.1726
1951,Jan,10,250,144,291.25,1103.23,0.2368
1951,Jan,11,200,166,166.53,573.7,0.094
1951,Jan,12,150,112,236.32,713.97,0.0308
1951,Jan,13,250,140,289.38,889.81,0.0363
1951,Jan,14,200,148,242.71,634.64,0.1519
1951,Jan,15,250,129,274.12,1085.24,0.0626
1951,Jan,16,250,200,196.27,529.88,0.0253
1951,Jan,17,300,91,215.16,712.51,0.0369
1951,Jan,18,150,164,182.51,705.91,0.0593
1951,Jan,19,200,121,167.18,469.83,0.0099
1951,Jan,20,250,143,191.91,506.48,0.027
1951,Jan,21,300,193,114.82,320.02,0.0413
1951,Jan,22,300,121,277.54,1083.15,0.0108
1951,Jan,23,150,123,250.14,697.97,0.0567
1951,Jan,24,300,173,290.65,1029.52,0.1077
1951,Jan,25,250,115,113.05,366.37,0.0507
1951,Jan,26,200,120,133.83,343.94,0.0853
1951,Jan,27,250,99,172.88,577.03,0.2783
1951,Jan,28,300,135,101.82,311.94,0.1791
1951,Jan,29,250,161,120.3,448.24,0.1396
1951,Jan,30,300,124,179.78,584.36,0.1338
1951,Feb,1,150,143,264.92,681.43,0.2051
1951,Feb,2,250,124,241.7,845.98,0.0304
1951,Feb,3,200,149,144.72,365.43,0.1213
1951,Feb,4,200,177,112.77,442.67,0.0444
1951,Feb,5,200,168,205.82,819.54,0.0729
1951,Feb,6,200,135,105.8,292.01,0.1427
1951,Feb,7,150,144,184.95,688.1,0.0625
1951,Feb,8,150,143,213.13,664.02,0.0639
1951,Feb,9,200,117,194.28,758.22,0.0661
1951,Feb,10,150,130,182.24,598.76,0.0727
1951,Feb,11,150,175,124.45,331.48,0.1139
1951,Feb,12,150,155,222.63,657.88,0.0612
1951,Feb,13,200,169,287.76,879.71,0.0152
1951,Feb,14,150,140,287.09,750.91,0.1693
1951,Feb,15,150,124,287.89,723.21,0.156
1951,Feb,16,300,174,258.13,958.49,0.0259
1951,Feb,17,250,147,245.98,701.3,0.2564
1951,Feb,18,250,194,283.62,850.8,0.0322
1951,Feb,19,250,164,128.89,327.72,0.1782
1951,Feb,20,150,122,100.85,343.51,0.1212
1951,Feb,21,300,104,266.57,729.56,0.1109
1951,Feb,22,300,114,178.88,657.92,0.134
1951,Feb,23,200,138,165.23,413.71,0.0225
1951,Feb,24,150,116,288.02,1054.23,0.0243
1951,Feb,25,250,199,287.18,1055.94,0.1538
1951,Feb,26,150,147,106.96,287.37,0.2045
1951,Feb,27,250,106,175.99,686.27,0.0672
1951,Feb,28,200,111,122.68,309.57,0.0331
1951,Feb,29,250,202,195.95,512.23,0.0485
1951,Feb,30,200,186,125.67,500.05,0.041
1951,Mar,1,150,145,235.03,639.54,0.0539
1951,Mar,2,250,203,297.05,869.62,0.0341
1951,Mar,3,200,173,163.07,485.34,0.1153
1951,Mar,4,300,209,256.31,815.22,0.0363
1951,Mar,5,250,130,233.14,871.63,0.0796
1951,Mar,6,200,176,284.97,908.22,0.1158
1951,Mar,7,300,216,101.23,401.77,0.0707
1951,Mar,8,300,123,276.38,733.24,0.0272
1951,Mar,9,150,234,162.14,535.59,0.1863
1951,Mar,10,200,143,106.67,368.83,0.0591
1951,Mar,11,200,199,286.3,1136.42,0.0733
1951,Mar,12,300,166,287.58,961.92,0.0538
1951,Mar,13,300,201,281.51,851.51,0.087
1951,Mar,14,150,171,286.74,843.57,0.1193
1951,Mar,15,300,205,161.67,624.74,0.0721
1951,Mar,16,300,225,294.89,866.8,0.0835
1951,Mar,17,200,179,105.34,310.07,0.0236
1951,Mar,18,300,173,114.05,427.71,0.0912
1951,Mar,19,200,250,185.4,552.55,0.0671
1951,Mar,20,300,192,218.71,611.22,0.0574
1951,Mar,21,250,197,234.74,861.45,0.156
1951,Mar,22,150,187,186.84,536.8,0.1125
1951,Mar,23,150,202,230.55,826.21,0.0348
1951,Mar,24,200,167,277.12,715.21,0.0149
1951,Mar,25,200,168,197.91,789.39,0.1471
1951,Mar,26,250,149,113.89,326.41,0.0744
1951,Mar,27,200,131,162.19,562.61,0.0404
1951,Mar,28,200,128,108.56,419.81,0.2595
1951,Mar,29,250,206,291.45,1152.52,0.0884
1951,Mar,30,200,191,227.39,661.37,0.161
1951,Apr,1,300,127,185.74,729.13,0.0608
1951,Apr,2,150,140,194.29,702.73,0.0559
1951,Apr,3,200,166,121.35,360.87,0.0627
1951,Apr,4,200,149,200.9,641.7,0.072
1951,Apr,5,150,182,212.33,626.63,0.2084
1951,Apr,6,300,172,185.93,711.87,0.1943
1951,Apr,7,250,182,245.8,765.44,0.0578
1951,Apr,8,300,189,166.32,495.94,0.1038
1951,Apr,9,300,160,237.5,719.55,0.0335
1951,Apr,10,200,188,101.44,290.01,0.0705
1951,Apr,11,200,147,131.14,510.36,0.0404
1951,Apr,12,250,147,256.99,837.92,0.1556
1951,Apr,13,250,182,130.25,425.85,0.1778
1951,Apr,14,200,178,159.55,625.39,0.034
1951,Apr,15,250,180,255.66,780.92,0.1166
1951,Apr,16,300,155,159.91,456.34,0.0489
1951,Apr,17,300,171,183.93,639.08,0.0836
1951,Apr,18,200,164,274.93,843.89,0.0395
1951,Apr,19,300,144,273.53,853.51,0.0196
1951,Apr,20,150,167,223.42,865.01,0.1523
1951,Apr,21,300,156,261.69,941.44,0.0335
1951,Apr,22,150,160,263.48,791.86,0.0372
1951,Apr,23,300,146,178.5,460.23,0.0811
1951,Apr,24,200,156,190.09,561.43,0.0264
1951,Apr,25,200,216,182.41,566.62,0.075
1951,Apr,26,250,169,281.25,959.83,0.2215
1951,Apr,27,150,192,256.32,760.24,0.2006
1951,Apr,28,250,231,129.98,517.96,0.161
1951,Apr,29,250,183,121.97,372.45,0.0376
1951,Apr,30,200,228,259.0,970.31,0.0399
1951,May,1,250,195,237.09,917.96,0.0598
1951,May,2,200,149,119.61,452.28,0.0121
1951,May,3,250,98,133.36,488.32,0.1945
1951,May,4,300,135,139.47,367.27,0.018
1951,May,5,250,210,223.42,688.12,0.1326
1951,May,6,200,97,295.36,1152.59,0.0176
1951,May,7,300,139,102.06,269.17,0.1758
1951,May,8,250,172,205.07,603.39,0.1135
1951,May,9,200,148,214.42,813.5,0.0253
1951,May,10,300,174,108.18,383.93,0.0666
1951,May,11,300,124,167.98,671.86,0.0747
1951,May,12,250,177,214.31,756.75,0.0452
1951,May,13,200,193,161.97,491.02,0.1681
1951,May,14,150,151,211.79,673.96,0.1428
1951,May,15,300,179,275.91,1101.12,0.2908
1951,May,16,200,175,160.99,519.03,0.119
1951,May,17,200,204,223.67,751.24,0.0673
1951,May,18,200,105,225.22,694.45,0.0739
1951,May,19,250,173,225.02,652.01,0.0045
1951,May,20,200,174,238.73,797.42,0.2117
1951,May,21,300,149,142.83,415.37,0.0476
1951,May,22,300,174,255.01,720.7,0.0986
1951,May,23,250,155,253.96,730.55,0.0795
1951,May,24,300,183,239.54,694.06,0.0159
1951,May,25,300,263,280.93,920.3,0.083
1951,May,26,150,93,147.52,455.58,0.047
1951,May,27,150,207,190.21,481.87,0.0435
1951,May,28,200,209,150.82,557.45,0.1198
1951,May,29,300,107,225.98,860.12,0.0786
1951,May,30,150,144,142.8,515.51,0.0161
1951,Jun,1,250,223,227.24,587.29,0.0916
1951,Jun,2,250,203,196.92,562.62,0.1137
1951,Jun,3,250,173,177.98,448.81,0.1422
1951,Jun,4,250,118,245.73,784.8,0.031
1951,Jun,5,150,153,294.76,1143.03,0.0234
1951,Jun,6,300,174,241.08,613.18,0.0423
1951,Jun,7,150,155,185.58,740.95,0.0456
1951,Jun,8,200,207,182.68,489.56,0.0907
1951,Jun,9,300,122,192.15,554.14,0.1875
1951,Jun,10,250,148,256.1,784.12,0.0074
1951,Jun,11,250,219,296.75,762.44,0.1118
1951,Jun,12,300,175,172.06,476.29,0.0735
1951,Jun,13,150,219,106.96,405.11,0.095
1951,Jun,14,300,202,211.41,732.48,0.1766
1951,Jun,15,200,134,214.99,598.79,0.0639
1951,Jun,16,300,223,103.38,349.81,0.0475
1951,Jun,17,300,163,150.33,467.11,0.1839
1951,Jun,18,300,184,239.81,772.71,0.0452
1951,Jun,19,300,191,213.18,707.41,0.0782
1951,Jun,20,200,171,204.27,557.9,0.027
1951,Jun,21,250,200,295.12,894.85,0.0976
1951,Jun,22,250,159,225.76,626.85,0.1268
1951,Jun,23,200,226,198.16,551.59,0.171
1951,Jun,24,300,221,216.52,761.78,0.0616
1951,Jun,25,200,140,145.03,577.59,0.0515
1951,Jun,26,300,126,177.56,692.64,0.0419
1951,Jun,27,300,187,261.47,860.11,0.0475
1951,Jun,28,200,175,265.56,1008.54,0.1333
1951,Jun,29,300,138,284.77,853.8,0.0564
1951,Jun,30,200,189,155.09,533.1,0.0171
1951,Jul,1,250,199,103.3,390.56,0.1259
1951,Jul,2,300,186,273.8,999.64,0.2138
1951,Jul,3,300,204,176.35,459.69,0.0548
1951,Jul,4,300,224,174.16,638.67,0.0676
1951,Jul,5,300,273,245.79,714.66,0.0769
1951,Jul,6,250,221,100.09,346.05,0.1142
1951,Jul,7,150,189,185.13,519.88,0.1046
1951,Jul,8,300,124,154.32,581.19,0.0724
1951,Jul,9,200,168,246.62,745.67,0.031
1951,Jul,10,250,212,123.46,411.56,0.0854
1951,Jul,11,200,138,181.08,520.71,0.0963
1951,Jul,12,150,253,247.37,659.87,0.1195
1951,Jul,13,200,193,252.82,702.59,0.0512
1951,Jul,14,200,248,127.82,494.75,0.0817
1951,Jul,15,250,140,173.23,639.57,0.0806
1951,Jul,16,250,199,269.94,826.13,0.1469
1951,Jul,17,150,210,290.97,1160.46,0.0323
1951,Jul,18,250,270,120.8,337.75,0.0572
1951,Jul,19,150,183,157.24,464.27,0.1661
1951,Jul,20,250,163,268.2,954.54,0.0463
1951,Jul,21,250,164,145.61,446.12,0.2451
1951,Jul,22,300,266,205.05,719.83,0.0587
1951,Jul,23,150,197,145.94,552.15,0.0057
1951,Jul,24,250,95,181.73,564.53,0.1589
1951,Jul,25,250,150,115.47,459.11,0.1249
1951,Jul,26,200,135,150.84,553.61,0.0842
1951,Jul,27,250,223,128.45,396.94,0.1052
1951,Jul,28,200,199,239.39,926.89,0.0496
1951,Jul,29,250,223,126.36,443.47,0.0858
1951,Jul,30,250,207,128.81,478.82,0.0551
1951,Aug,1,250,190,256.71,934.28,0.1409
1951,Aug,2,150,208,295.05,1056.02,0.1874
1951,Aug,3,250,184,130.38,394.72,0.0381
1951,Aug,4,200,195,282.55,1003.37,0.0368
1951,Aug,5,300,197,172.78,634.45,0.1056
1951,Aug,6,300,168,245.53,974.69,0.0248
1951,Aug,7,250,193,177.82,518.77,0.0486
1951,Aug,8,200,184,107.88,422.78,0.2203
1951,Aug,9,150,207,217.91,742.22,0.0807
1951,Aug,10,150,243,277.56,788.4,0.091
1951,Aug,11,150,287,288.28,1062.98,0.0651
1951,Aug,12,200,200,189.7,509.33,0.0861
1951,Aug,13,300,198,136.13,351.73,0.0496
1951,Aug,14,250,160,277.61,967.84,0.1523
1951,Aug,15,250,182,152.7,460.44,0.0223
1951,Aug,16,200,177,290.2,733.46,0.083
1951,Aug,17,200,177,112.54,392.36,0.0198
1951,Aug,18,200,164,274.53,924.8,0.2594
1951,Aug,19,300,208,232.94,766.9,0.0488
1951,Aug,20,300,193,146.51,569.02,0.1943
1951,Aug,21,200,227,269.1,781.35,0.0514
1951,Aug,22,250,233,238.75,780.47,0.0301
1951,Aug,23,200,309,187.06,533.13,0.0661
1951,Aug,24,250,205,265.36,694.96,0.061
1951,Aug,25,200,268,172.43,651.99,0.0603
1951,Aug,26,150,243,200.33,526.89,0.0651
1951,Aug,27,150,184,116.95,397.44,0.0227
1951,Aug,28,200,265,284.13,1076.83,0.0162
1951,Aug,29,250,85,173.16,526.0,0.0878
1951,Aug,30,150,123,141.09,435.79,0.1229
1951,Sep,1,200,191,238.51,799.04,0.0113
1951,Sep,2,300,184,201.84,590.51,0.0442
1951,Sep,3,300,213,222.29,761.19,0.0902
1951,Sep,4,250,176,142.15,523.64,0.0323
1951,Sep,5,200,216,283.46,1004.38,0.1124
1951,Sep,6,200,147,124.49,357.89,0.0238
1951,Sep,7,300,171,243.7,913.27,0.0926
1951,Sep,8,250,156,168.28,491.88,0.133
1951,Sep,9,150,171,191.07,617.88,0.0292
1951,Sep,10,300,150,208.04,742.29,0.1425
1951,Sep,11,200,241,284.72,1123.27,0.0801
1951,Sep,12,250,161,263.87,952.42,0.0503
1951,Sep,13,200,221,150.28,475.24,0.0258
1951,Sep,14,200,134,157.56,629.99,0.0556
1951,Sep,15,200,177,225.6,837.56,0.0271
1951,Sep,16,200,184,138.87,542.94,0.1649
1951,Sep,17,200,176,209.0,695.12,0.0998
1951,Sep,18,200,227,275.9,994.06,0.0201
1951,Sep,19,150,213,220.24,786.83,0.1597
1951,Sep,20,250,222,165.8,617.74,0.0979
1951,Sep,21,250,186,120.7,398.07,0.0942
1951,Sep,22,300,221,175.4,440.03,0.0948
1951,Sep,23,200,126,225.61,790.84,0.241
1951,Sep,24,200,237,263.65,873.83,0.1606
1951,Sep,25,300,205,288.56,1043.81,0.1507
1951,Sep,26,150,129,251.75,956.58,0.1396
1951,Sep,27,300,212,144.67,559.14,0.1082
1951,Sep,28,150,125,288.14,950.9,0.0491
1951,Sep,29,150,157,298.3,1031.07,0.1028
1951,Sep,30,200,174,250.5,935.62,0.0129
1951,Oct,1,150,162,112.71,288.06,0.0427
1951,Oct,2,250,167,212.8,786.37,0.1125
1951,Oct,3,300,196,214.23,613.11,0.1058
1951,Oct,4,250,219,254.02,811.54,0.0491
1951,Oct,5,150,185,290.34,927.77,0.0515
1951,Oct,6,300,173,237.24,839.78,0.0434
1951,Oct,7,250,172,154.76,514.75,0.0469
1951,Oct,8,150,212,260.31,990.44,0.0955
1951,Oct,9,300,144,181.11,463.17,0.0371
1951,Oct,10,150,182,173.87,627.72,0.138
1951,Oct,11,250,168,207.57,596.92,0.056
1951,Oct,12,150,109,210.5,804.48,0.1912
1951,Oct,13,150,127,264.45,854.47,0.0823
1951,Oct,14,200,180,282.2,852.72,0.0781
1951,Oct,15,250,154,222.3,703.45,0.0769
1951,Oct,16,300,132,275.86,809.9,0.0977
1951,Oct,17,250,104,226.92,747.66,0.043
1951,Oct,18,150,214,215.22,779.94,0.0358
1951,Oct,19,200,165,224.97,632.41,0.0169
1951,Oct,20,300,161,128.12,399.92,0.046
1951,Oct,21,200,158,136.85,408.64,0.0868
1951,Oct,22,150,267,179.11,699.34,0.1348
1951,Oct,23,250,188,271.1,895.27,0.0808
1951,Oct,24,250,196,256.39,794.36,0.076
1951,Oct,25,200,121,112.48,384.47,0.1001
1951,Oct,26,150,149,299.25,1007.41,0.1237
1951,Oct,27,300,169,181.36,608.63,0.0579
1951,Oct,28,250,211,213.39,568.85,0.0421
1951,Oct,29,200,135,120.49,480.74,0.0144
1951,Oct,30,250,224,228.94,757.15,0.0258
1951,Nov,1,300,176,220.36,656.29,0.0938
1951,Nov,2,200,129,172.76,569.54,0.0597
1951,Nov,3,250,168,195.45,735.58,0.1364
1951,Nov,4,300,66,174.83,506.65,0.1398
1951,Nov,5,150,109,237.91,857.49,0.2138
1951,Nov,6,250,127,187.05,572.41,0.0573
1951,Nov,7,300,165,150.39,577.32,0.0965
1951,Nov,8,300,160,135.67,434.5,0.0613
1951,Nov,9,200,95,250.82,858.73,0.0481
1951,Nov,10,250,124,137.6,443.28,0.0905
1951,Nov,11,300,138,241.74,644.7,0.1462
1951,Nov,12,300,135,126.54,409.11,0.2328
1951,Nov,13,250,176,177.36,686.61,0.1133
1951,Nov,14,200,146,162.47,599.27,0.027
1951,Nov,15,250,175,242.5,796.3,0.0681
1951,Nov,16,250,106,102.98,404.76,0.0213
1951,Nov,17,150,171,214.27,799.77,0.0929
1951,Nov,18,250,154,133.22,463.63,0.1455
1951,Nov,19,250,140,288.02,903.68,0.099
1951,Nov,20,150,196,264.15,761.15,0.0116
1951,Nov,21,150,154,175.85,605.46,0.1158
1951,Nov,22,250,143,266.21,978.53,0.2135
1951,Nov,23,150,159,171.23,625.45,0.1911
1951,Nov,24,200,139,187.61,683.32,0.023
1951,Nov,25,200,160,239.76,827.99,0.1188
1951,Nov,26,250,160,291.18,1079.37,0.0202
1951,Nov,27,250,130,251.25,661.8,0.0445
1951,Nov,28,250,197,152.51,409.91,0.1214
1951,Nov,29,200,185,182.68,590.63,0.2108
1951,Nov,30,250,134,249.6,731.23,0.1637
1951,Dec,1,250,120,267.34,913.83,0.0529
1951,Dec,2,200,182,113.62,378.35,0.0432
1951,Dec,3,150,197,241.83,661.4,0.0379
1951,Dec,4,200,235,245.49,961.65,0.0695
1951,Dec,5,300,163,160.85,512.12,0.0803
1951,Dec,6,300,153,202.02,751.06,0.1368
1951,Dec,7,200,190,237.77,858.68,0.1153
1951,Dec,8,300,167,157.61,594.55,0.0689
1951,Dec,9,250,108,295.03,945.86,0.0428
1951,Dec,10,250,152,173.8,465.68,0.0193
1951,Dec,11,150,149,217.93,546.14,0.0855
1951,Dec,12,300,193,226.16,734.45,0.006
1951,Dec,13,300,197,212.2,543.91,0.1287
1951,Dec,14,250,136,264.7,1013.98,0.0566
1951,Dec,15,300,124,159.3,481.0,0.0429
1951,Dec,16,200,173,202.66,653.91,0.0912
1951,Dec,17,250,83,293.04,882.01,0.0981
1951,Dec,18,200,162,289.52,766.07,0.1699
1951,Dec,19,200,187,190.28,527.86,0.1213
1951,Dec,20,150,138,150.49,413.38,0.0604
1951,Dec,21,200,147,296.41,829.27,0.1944
1951,Dec,22,200,114,152.29,533.5,0.0639
1951,Dec,23,250,188,206.15,658.54,0.0771
1951,Dec,24,150,144,298.57,828.55,0.3254
1951,Dec,25,200,145,231.12,643.02,0.0178
1951,Dec,26,200,138,229.97,862.67,0.1659
1951,Dec,27,150,154,211.38,550.19,0.0419
1951,Dec,28,250,198,176.79,477.95,0.1972
1951,Dec,29,200,154,103.76,306.57,0.1214
1951,Dec,30,150,130,255.98,939.12,0.0296
